topic_id,clean_topic_label,transition,growth_pp,initial_share_pp,avg_rating_z_year,avg_rating,log_topic_size,prestige_concentration,topic_size
11,series time forecasting data,2024_to_2025,-0.07194426745545135,1.982651796778191,0.0483503349417985,5.225814814814815,5.420534999272286,0.1111111111111111,225
26,video motion generation temporal,2023_to_2024,0.2884102203913398,0.9011808576755748,-0.0456771589498151,5.029956427015251,5.0369526024136295,0.1568627450980392,153
26,video motion generation temporal,2024_to_2025,0.24816904300762177,1.1895910780669146,-0.0456771589498151,5.029956427015251,5.0369526024136295,0.1568627450980392,153
49,hallucination in LVLMs,2023_to_2024,0.3343799553780124,0.0621504039776258,-0.0944017853675193,4.826388888888888,3.8918202981106265,0.0208333333333333,48
49,hallucination in LVLMs,2024_to_2025,0.17100653054220516,0.3965303593556382,-0.0944017853675193,4.826388888888888,3.8918202981106265,0.0208333333333333,48
33,knowledge retrieval rag query,2023_to_2024,0.23961406678511443,0.6525792417650714,0.0019511432271759,5.116076696165192,4.736198448394496,0.1150442477876106,113
33,knowledge retrieval rag query,2024_to_2025,0.1672088859257883,0.8921933085501859,0.0019511432271759,5.116076696165192,4.736198448394496,0.1150442477876106,113
53,dexterous manipulation / robotics,2023_to_2024,-0.0566284907617699,0.2796768178993163,-0.0047294024772657,4.798765432098765,4.007333185232471,0.1851851851851851,54
53,dexterous manipulation / robotics,2024_to_2025,0.4579959407398656,0.2230483271375464,-0.0047294024772657,4.798765432098765,4.007333185232471,0.1851851851851851,54
35,medical image segmentation,2023_to_2024,0.3391317272806388,0.5282784338098198,-0.0931958510458233,5.013366336633664,4.624972813284271,0.0792079207920792,101
35,medical image segmentation,2024_to_2025,0.05956675907601905,0.8674101610904585,-0.0931958510458233,5.013366336633664,4.624972813284271,0.0792079207920792,101
54,decoding speculative draft inference,2023_to_2024,0.2407692787549588,0.2796768178993163,0.0726059466998424,5.145833333333333,4.110873864173311,0.15,60
54,decoding speculative draft inference,2024_to_2025,0.04709079324356824,0.5204460966542751,0.0726059466998424,5.145833333333333,4.110873864173311,0.15,60
13,transformers transformer attention of,2023_to_2024,0.5287944284896835,1.3051584835301429,0.140169071980373,5.373333333333334,5.303304908059076,0.155,200
13,transformers transformer attention of,2024_to_2025,-0.244849620305865,1.8339529120198264,0.140169071980373,5.373333333333334,5.303304908059076,0.155,200
15,pdes pde equations differential,2023_to_2024,-0.0290189246824899,1.3673088875077688,0.1499188682325875,5.294144144144143,5.225746673713202,0.1459459459459459,185
15,pdes pde equations differential,2024_to_2025,0.30756701787846685,1.338289962825279,0.1499188682325875,5.294144144144143,5.225746673713202,0.1459459459459459,185
32,continual forgetting knowledge unlearning,2023_to_2024,0.13341928110388968,0.9322560596643878,-0.0142330922919998,5.175126262626263,4.890349128221754,0.0681818181818181,132
32,continual forgetting knowledge unlearning,2024_to_2025,0.050480542697481035,1.0656753407682775,-0.0142330922919998,5.175126262626263,4.890349128221754,0.0681818181818181,132
40,anomaly detection anomalies normal,2023_to_2024,-0.112871910866925,0.435052827843381,-0.0468157619438337,4.950282485875706,4.0943445622221,0.0677966101694915,59
40,anomaly detection anomalies normal,2024_to_2025,0.2831917655812436,0.322180916976456,-0.0468157619438337,4.950282485875706,4.0943445622221,0.0677966101694915,59
2,diffusion image the of,2023_to_2024,0.345431483222856,6.494717215661902,0.0426267394390507,5.255390567218524,6.731018100482083,0.1385902031063321,837
2,diffusion image the of,2024_to_2025,-0.18104919075006176,6.840148698884758,0.0426267394390507,5.255390567218524,6.731018100482083,0.1385902031063321,837
45,recommender systems,2023_to_2024,0.05431806682208118,0.4661280298321939,-0.1088526891212611,5.029710144927536,4.248495242049359,0.0869565217391304,69
45,recommender systems,2024_to_2025,0.10384448223335263,0.5204460966542751,-0.1088526891212611,5.029710144927536,4.248495242049359,0.0869565217391304,69
28,problems optimization combinatorial search,2023_to_2024,-0.27608025796653457,1.1187072715972657,0.0526439216810281,5.181004901960784,4.919980925828125,0.1470588235294117,136
28,problems optimization combinatorial search,2024_to_2025,0.4059541441445246,0.8426270136307311,0.0526439216810281,5.181004901960784,4.919980925828125,0.1470588235294117,136
44,conformal prediction coverage sets,2023_to_2024,0.19672489705135998,0.4972032318210068,0.0713117732909888,5.277489177489177,4.356708826689592,0.1168831168831168,77
44,conformal prediction coverage sets,2024_to_2025,-0.06963754998473903,0.6939281288723668,0.0713117732909888,5.277489177489177,4.356708826689592,0.1168831168831168,77
55,face / deepfake detection,2023_to_2024,0.3029196827325846,0.2175264139216905,-0.1387797978176349,5.083695652173913,3.8501476017100575,0.0434782608695652,46
55,face / deepfake detection,2024_to_2025,-0.1799239627155691,0.5204460966542751,-0.1387797978176349,5.083695652173913,3.8501476017100575,0.0434782608695652,46
17,audio speech audiovisual generation,2023_to_2024,-0.01566467431108931,1.0565568676196395,0.152267053655958,5.359469696969697,4.890349128221754,0.1212121212121212,132
17,audio speech audiovisual generation,2024_to_2025,0.01851000116742396,1.0408921933085502,0.152267053655958,5.359469696969697,4.890349128221754,0.1212121212121212,132
50,quantization quantized lowbit 4bit,2023_to_2024,0.24590612131419998,0.6215040397762586,0.043262536248093,5.33474025974026,4.48863636973214,0.1477272727272727,88
50,quantization quantized lowbit 4bit,2024_to_2025,-0.2431195822028308,0.8674101610904585,0.043262536248093,5.33474025974026,4.48863636973214,0.1477272727272727,88
47,quantum classical of the,2023_to_2024,-0.050721506889299106,0.3729024238657551,0.0650912404671188,5.338095238095238,3.7612001156935615,0.2142857142857142,42
47,quantum classical of the,2024_to_2025,-0.0005766793676781345,0.322180916976456,0.0650912404671188,5.338095238095238,3.7612001156935615,0.2142857142857142,42
48,pruning sparsity compression sparse,2023_to_2024,0.3824059676710079,0.5593536357986327,0.0325583284283177,5.414634146341464,4.418840607796598,0.0975609756097561,82
48,pruning sparsity compression sparse,2024_to_2025,-0.4498942988915097,0.9417596034696406,0.0325583284283177,5.414634146341464,4.418840607796598,0.0975609756097561,82
19,federated fl clients client,2023_to_2024,0.18260050536672967,1.0565568676196395,-0.1069846178953742,5.196338383838383,4.890349128221754,0.053030303030303,132
19,federated fl clients client,2024_to_2025,-0.33109834914981984,1.2391573729863692,-0.1069846178953742,5.196338383838383,4.890349128221754,0.053030303030303,132
51,optimization bayesian bo the,2023_to_2024,0.035056832578209796,0.6836544437538844,0.1454331276459854,5.468831168831168,4.356708826689592,0.1818181818181818,77
51,optimization bayesian bo the,2024_to_2025,-0.22684597175396332,0.7187112763320942,0.1454331276459854,5.468831168831168,4.356708826689592,0.1818181818181818,77
42,backdoor attacks attack defense,2023_to_2024,-0.15100930869805296,0.7458048477315102,-0.1395245310941538,5.161777777777778,4.330733340286331,0.08,75
42,backdoor attacks attack defense,2024_to_2025,-0.08401233812539821,0.5947955390334573,-0.1395245310941538,5.161777777777778,4.330733340286331,0.08,75
52,ssl selfsupervised unlabeled semisupervised,2023_to_2024,-0.20609751683336375,0.5282784338098198,0.1218932001029677,5.546031746031746,3.7612001156935615,0.1904761904761904,42
52,ssl selfsupervised unlabeled semisupervised,2024_to_2025,-0.0951661610173187,0.322180916976456,0.1218932001029677,5.546031746031746,3.7612001156935615,0.1904761904761904,42
30,fairness fair groups in,2023_to_2024,-0.2631110782517484,0.9322560596643878,0.0961471448939537,5.419288389513109,4.499809670330265,0.0674157303370786,89
30,fairness fair groups in,2024_to_2025,-0.06377229885493985,0.6691449814126395,0.0961471448939537,5.419288389513109,4.499809670330265,0.0674157303370786,89
6,brain spiking of and,2023_to_2024,-0.8042277677531056,3.6047234307023,0.178063024313907,5.389344941956883,5.998936561946683,0.1741293532338308,402
6,brain spiking of and,2024_to_2025,0.47230040212836943,2.8004956629491944,0.178063024313907,5.389344941956883,5.998936561946683,0.1741293532338308,402
39,clustering / approximation algorithms,2023_to_2024,-0.2631110782517484,0.9322560596643878,0.2118761684990896,5.561111111111111,4.477336814478207,0.1034482758620689,87
39,clustering / approximation algorithms,2024_to_2025,-0.1016080915147961,0.6691449814126395,0.2118761684990896,5.561111111111111,4.477336814478207,0.1034482758620689,87
43,ood detection outofdistribution id,2023_to_2024,-0.22574382173385,0.870105655686762,-0.0476910773614814,5.3673245614035086,4.343805421853684,0.0657894736842105,76
43,ood detection outofdistribution id,2024_to_2025,-0.2281681146944936,0.644361833952912,-0.0476910773614814,5.3673245614035086,4.343805421853684,0.0657894736842105,76
31,label labels the noisy,2023_to_2024,-0.27094341540729294,1.4605344934742075,0.0290777066085202,5.347392290249433,4.997212273764115,0.1020408163265306,147
31,label labels the noisy,2024_to_2025,-0.20586046891065257,1.1895910780669146,0.0290777066085202,5.347392290249433,4.997212273764115,0.1020408163265306,147
34,communication distributed federated convergence,2023_to_2024,-0.05893891470145829,1.0254816656308263,0.0510742311287477,5.53048115079365,4.574710978503383,0.1145833333333333,96
34,communication distributed federated convergence,2024_to_2025,-0.5125132390110934,0.966542750929368,0.0510742311287477,5.53048115079365,4.574710978503383,0.1145833333333333,96
41,equivariant symmetries group symmetry,2023_to_2024,-0.5864472071980487,1.3051584835301429,0.1511715641706137,5.614089347079037,4.584967478670572,0.1546391752577319,97
41,equivariant symmetries group symmetry,2024_to_2025,-0.22684597175396332,0.7187112763320942,0.1511715641706137,5.614089347079037,4.584967478670572,0.1546391752577319,97
9,causal treatment variables of,2023_to_2024,-0.5352097056288856,2.7656929770043504,0.0734432506970663,5.386369047619048,5.638354669333745,0.1285714285714285,280
9,causal treatment variables of,2024_to_2025,-0.3197757420527252,2.2304832713754648,0.0734432506970663,5.386369047619048,5.638354669333745,0.1285714285714285,280
25,game theory / equilibria,2023_to_2024,-0.6926419928792735,1.5848353014294594,0.2235774485941212,5.645564516129033,4.8283137373023015,0.1612903225806451,124
25,game theory / equilibria,2024_to_2025,-0.19223114434284572,0.8921933085501859,0.2235774485941212,5.645564516129033,4.8283137373023015,0.1612903225806451,124
24,statistical learning theory,2023_to_2024,-0.26734685547451065,2.2995649471721564,0.2466115340531856,5.671546546546547,5.407171771460119,0.1756756756756756,222
24,statistical learning theory,2024_to_2025,-0.7836369339223901,2.032218091697646,0.2466115340531856,5.671546546546547,5.407171771460119,0.1756756756756756,222
18,convex optimization,2023_to_2024,-0.6398642086836515,2.54816656308266,0.0963485797422534,5.470238095238096,5.468060141135132,0.135593220338983,236
18,convex optimization,2024_to_2025,-0.45162433699454385,1.9083023543990087,0.0963485797422534,5.470238095238096,5.468060141135132,0.135593220338983,236
16,deep learning theory,2023_to_2024,-0.511196699482388,3.014294592914854,0.1513559971986982,5.511185682326622,5.700443573390686,0.1577181208053691,298
16,deep learning theory,2024_to_2025,-0.6113082604396549,2.503097893432466,0.1513559971986982,5.511185682326622,5.700443573390686,0.1577181208053691,298
10,differential privacy,2023_to_2024,-1.0863459336153594,2.672467371037912,0.1660040263550223,5.560502283105023,5.393627546352361,0.1689497716894977,219
10,differential privacy,2024_to_2025,-0.2807865906575131,1.5861214374225527,0.1660040263550223,5.560502283105023,5.393627546352361,0.1689497716894977,219
27,Bayesian inference,2023_to_2024,-1.5524739634475528,3.1385954008701056,0.1935584926979624,5.557439280933258,5.521460917862246,0.1285140562248996,249
27,Bayesian inference,2024_to_2025,0.0029818542914086255,1.5861214374225527,0.1935584926979624,5.557439280933258,5.521460917862246,0.1285140562248996,249
12,adversarial robustness,2023_to_2024,-0.9388022608268387,3.045369794903667,-0.0491075516893828,5.3666943521594686,5.556828061699537,0.1085271317829457,258
12,adversarial robustness,2024_to_2025,-0.6877253093322198,2.106567534076828,-0.0491075516893828,5.3666943521594686,5.556828061699537,0.1085271317829457,258
29,matrix algorithms,2023_to_2024,-1.0552707316265462,2.641392169049099,0.213518695546654,5.69565268893627,5.308267697401205,0.2039800995024875,201
29,matrix algorithms,2024_to_2025,-0.6023908282662908,1.5861214374225527,0.213518695546654,5.69565268893627,5.308267697401205,0.2039800995024875,201
5,bandits / regret minimization,2023_to_2024,-1.0126357085261573,4.878806712243629,0.1333277464718292,5.467511361391029,6.180016653652572,0.1161825726141078,482
5,bandits / regret minimization,2024_to_2025,-0.6690465239596213,3.866171003717472,0.1333277464718292,5.467511361391029,6.180016653652572,0.1161825726141078,482
4,graph neural networks,2023_to_2024,-1.311188690012731,5.251709136109385,0.0559728050961014,5.383291067906452,6.230481447578482,0.1005917159763313,507
4,graph neural networks,2024_to_2025,-0.5542170030395219,3.940520446096654,0.0559728050961014,5.383291067906452,6.230481447578482,0.1005917159763313,507
0,RL / policy learning,2023_to_2024,-1.7900240515132122,9.819763828464884,0.054584771216165,5.341825165440326,6.937314081223682,0.1166180758017492,1029
0,RL / policy learning,2024_to_2025,-0.6706781046096362,8.029739776951672,0.054584771216165,5.341825165440326,6.937314081223682,0.1166180758017492,1029
