topic_id,topic_label,clean_topic_label,topic_size,share_2023_pp,share_2024_pp,share_2025_pp,delta_23_24_pp,delta_24_25_pp,delta_net_pp,delta_share_pp,avg_rating,avg_rating_z_year,prestige_concentration,trajectory_type
3,multimodal visual learning,multimodal visual learning,922,6.960845245494096,7.385377942998761,7.567158531971245,0.4245326975046648,0.18178058897248395,0.6063132864771488,0.6063132864771488,5.137013221774611,-0.0514795641363246,0.0997830802603036,consistent growth
38,image watermarking,image watermarking,56,0.0932256059664387,0.4708798017348203,0.6432084752175558,0.3776541957683816,0.17232867348273545,0.5499828692511171,0.549982869251117,4.896428571428572,-0.0046046200194131,0.125,consistent growth
7,protein / molecular modeling / drug discovery,protein / molecular modeling / drug discovery,311,2.0820385332504663,2.6022304832713754,2.6295875898600074,0.5201919500209091,0.027357106588631996,0.5475490566095411,0.5475490566095411,5.205894962486602,0.0478216847224058,0.1382636655948553,early growth / plateau
11,time-series forecasting,time-series forecasting,225,1.3673088875077688,1.982651796778191,1.9107075293227396,0.6153429092704221,-0.07194426745545135,0.5433986418149708,0.5433986418149706,5.225814814814815,0.0483503349417985,0.1111111111111111,spike then reversal
26,video temporal understanding,video / motion generation,153,0.9011808576755748,1.1895910780669146,1.4377601210745363,0.2884102203913398,0.24816904300762177,0.5365792633989616,0.5365792633989617,5.029956427015251,-0.0456771589498151,0.1568627450980392,consistent growth
49,hallucination in LVLMs,hallucination in LVLMs,48,0.0621504039776258,0.3965303593556382,0.5675368898978433,0.3343799553780124,0.17100653054220516,0.5053864859202175,0.5053864859202175,4.826388888888888,-0.0944017853675193,0.0208333333333333,consistent growth
33,retrieval-augmented generation / knowledge retrieval,retrieval-augmented generation / knowledge retrieval,113,0.6525792417650714,0.8921933085501859,1.0594021944759742,0.23961406678511443,0.1672088859257883,0.40682295271090274,0.4068229527109027,5.116076696165192,0.0019511432271759,0.1150442477876106,consistent growth
53,dexterous manipulation / grasping,dexterous manipulation robotics,54,0.2796768178993163,0.2230483271375464,0.681044267877412,-0.0566284907617699,0.4579959407398656,0.4013674499780957,0.4013674499780956,4.798765432098765,-0.0047294024772657,0.1851851851851851,rebound
35,medical image segmentation,medical image segmentation,101,0.5282784338098198,0.8674101610904585,0.9269769201664776,0.3391317272806388,0.05956675907601905,0.39869848635665783,0.3986984863566577,5.013366336633664,-0.0931958510458233,0.0792079207920792,consistent growth
54,speculative decoding / inference,speculative decoding / inference,60,0.2796768178993163,0.5204460966542751,0.5675368898978433,0.2407692787549588,0.04709079324356824,0.28786007199852703,0.287860071998527,5.145833333333333,0.0726059466998424,0.15,early growth / plateau
13,transformers / attention mechanisms,transformers / attention mechanisms,200,1.3051584835301429,1.8339529120198264,1.5891032917139614,0.5287944284896835,-0.244849620305865,0.2839448081838185,0.2839448081838185,5.373333333333334,0.140169071980373,0.155,spike then reversal
15,PDEs / differential equations,PDEs / differential equations,185,1.3673088875077688,1.338289962825279,1.6458569807037458,-0.0290189246824899,0.30756701787846685,0.27854809319597695,0.2785480931959769,5.294144144144143,0.1499188682325875,0.1459459459459459,late growth
32,continual learning / unlearning,continual learning / unlearning,132,0.9322560596643878,1.0656753407682775,1.1161558834657586,0.13341928110388968,0.050480542697481035,0.1838998238013707,0.1838998238013707,5.175126262626263,-0.0142330922919998,0.0681818181818181,consistent growth
40,anomaly detection,anomaly detection,59,0.435052827843381,0.322180916976456,0.6053726825576996,-0.112871910866925,0.2831917655812436,0.1703198547143186,0.1703198547143186,4.950282485875706,-0.0468157619438337,0.0677966101694915,rebound
2,image diffusion models,image diffusion models,837,6.494717215661902,6.840148698884758,6.659099508134696,0.345431483222856,-0.18104919075006176,0.16438229247279423,0.1643822924727933,5.255390567218524,0.0426267394390507,0.1385902031063321,spike then reversal
45,recommender systems,recommender systems,69,0.4661280298321939,0.5204460966542751,0.6242905788876277,0.05431806682208118,0.10384448223335263,0.1581625490554338,0.1581625490554338,5.029710144927536,-0.1088526891212611,0.0869565217391304,consistent growth
28,optimization / convergence / gradients,combinatorial optimization / search,136,1.1187072715972657,0.8426270136307311,1.2485811577752557,-0.27608025796653457,0.4059541441445246,0.12987388617799,0.12987388617799,5.181004901960784,0.0526439216810281,0.1470588235294117,rebound
44,conformal prediction,conformal prediction,77,0.4972032318210068,0.6939281288723668,0.6242905788876277,0.19672489705135998,-0.06963754998473903,0.12708734706662095,0.1270873470666209,5.277489177489177,0.0713117732909888,0.1168831168831168,spike then reversal
