paper_id,topic_id,topic_prob
UPefaFqjNQ,2,1.0
ZfFR4d5gUM,0,0.5139154846552023
cm53OBkctM,0,0.8543432779430415
nKCUDd9GYu,0,0.440944779225368
3FJaFElIVN,-1,0.0
Al9yglQGKj,0,0.6656068192190485
qHrZszJSXj,-1,0.0
kvXcHfBghm,-1,0.0
i2H2sEiq2T,7,0.4210592062092728
HtMXRGbUMt,0,0.6820319657206795
yjWVd8Fhqt,0,0.4777284493540559
inIONNg8Sq,0,0.5214351515115838
rDiMgZulwi,2,1.0
axmY49ahVI,0,0.219743787253787
82HeVCqsfh,-1,0.0
E58gaxJN1d,0,1.0
CgJJvuLjec,-1,0.0
CbsJ53LdKc,-1,0.0
6XPPfZkhKi,0,0.8639015094690592
XzTM9gVRT4,4,1.0
EdgPb3ngR4,-1,0.0
eCgWNU2Imw,-1,0.0
pKnhUWqZTJ,0,1.0
S5wmbQc1We,-1,0.0
SzYHu7EIwZ,-1,0.0
KvPwXVcslY,2,0.8662801429160653
MziFFGjpkb,-1,0.0
EETqXXdqkI,-1,0.0
0ORqsMY6OL,-1,0.0
Lg1ODJGGiI,0,0.2070994781570493
BXQtgwA2n0,-1,0.0
tfyr2zRVoK,-1,0.0
BfQJrIiOZC,3,0.4834606231854291
HPrd17Qvbp,0,1.0
A7feCufBhL,0,0.8703466742916759
6vnwhzRinw,0,1.0
qCglMj6A4z,4,0.9852993843751228
xxfHMqNcum,-1,0.0
EgCjf1vjMB,4,0.932891956201034
hiOUySN0ub,2,1.0
OzjBohmLvE,7,0.797109520213604
zDbsSscmuj,0,1.0
PLzCXefcpE,0,0.1897282022323151
u4YXKKG5dX,9,0.5287851537783781
txPdKZrrZF,-1,0.0
fU9U7OYxfE,0,0.2686909658837465
Zi1KKzh5Aj,0,0.581270631418025
1jhmWkZGy6,-1,0.0
x9FOu3W6iy,-1,0.0
FCIj5KMn2m,2,0.919782589311361
oGxE2Nvlda,6,0.4449995096687636
Z28nPtAVxx,7,0.9444017939951976
0Tq1RGJBid,11,0.6270251073367806
q1JukwH2yP,0,1.0
ecRaDicXxw,0,1.0
gdwcoBCMVi,9,1.0
sOQBHlCmzp,12,0.2740497742146596
hz10oiVMNE,-1,0.0
LMU2RNwdh2,0,1.0
